colorname,hc,hr,sc,sr,lc,lr
rot,355.4564355197356,19.357606767441172,100,31.93074506447077,47.89437023794059,20.501959639946435
orange,35.320112029955474,15.214275948640775,100,46.666666666666664,49.32000000000001,28.18876813358272
braun,33.89172751814119,12.932634981962496,100,42.078664329675995,25.97613958847737,19.741810065513565
gelb,59.52039383896077,13.5594009281924,100,35.41227983539094,48.71067736646085,21.85207940812043
olive,66.24791464243498,15.198983594399275,100,48.3045891539648,22.466666666666665,21.279961013609512
grün,121.83234932944147,38.08267480812142,100,42.078664329675995,48.96026995884774,25.521485908339397
blattgrün,149.31817710329435,19.132152224216412,100,46.666666666666664,22.24888888888889,19.50942694157051
türkis,179.15475753070797,18.28841324909387,100,42.078664329675995,49.27857119341564,25.760432776223738
blau,233.97568016615782,29.50003952259053,100,40.651851851851845,49.218242019204396,24.755447638994028
marinblau,238.56501106465038,23.010392608745022,100,45.08428321036714,22.92888888888889,18.978600589327396
lila,285.2367622782064,15.596368297732308,100,31.93074506447077,44.33085643541225,20.59447272343077
indigo,280.0,20.0,100,50.0,20.0,20.0
pink,316.230420058437,15.821216348440382,100,40.651851851851845,48.58284536625514,25.051433028823062
bordeaux,348.88010229350505,19.75209296733249,100,48.3045891539648,21.4,19.973582552962302
